dateTime,lat,long,pressure,temperature,humidity,pm1_0,pm2_5,pm10
2021-01-20 09:00:00+05:30,28.633,77.2326,990.75,26.07,40.32,90.14,148.28,168.75
2021-01-16 08:00:00+05:30,28.651,77.2224,990.12,23.2,44.11,164.16,360.01,399.39
2021-01-02 18:00:00+05:30,28.561,77.2938,989.48,32.15,27.63,150.46,243.46,282.69
2020-11-19 13:00:00+05:30,28.552,77.1612,986.98,36.02,19.13,49.25,78.88,83.5
2021-01-11 15:00:00+05:30,28.561,77.1918,990.39,34.38,23.03,48.74,75.33,85.56
2020-12-06 13:00:00+05:30,28.633,77.2326,990.56,33.27,30.08,108.54,183.64,203.13
2020-12-21 16:00:00+05:30,28.498,77.2938,994.95,33.14,19.14,73.09,114.65,124.81
2020-12-04 07:00:00+05:30,28.552,77.1714,985.42,36.25,28.12,107.3,180.27,193.97
2020-12-15 08:00:00+05:30,28.498,77.2938,995.45,25.43,34.65,64.09,107.72,125.61
2021-01-01 09:00:00+05:30,28.498,77.2938,996.13,22.45,38.12,242.83,476.68,517.78
2020-12-30 17:00:00+05:30,28.606,77.2326,993.91,27.63,33.89,94.17,143.83,154.83
2021-01-17 07:00:00+05:30,28.66,77.304,992.37,20.66,39.74,92.0,147.67,155.0
2020-12-12 07:00:00+05:30,28.57,77.202,989.91,24.83,54.42,170.06,303.28,328.94
2020-12-09 16:00:00+05:30,28.651,77.1204,988.34,37.54,21.98,53.17,84.91,92.02
2020-12-29 14:00:00+05:30,28.561,77.2428,992.08,31.45,20.78,68.49,109.17,119.8
2020-11-17 09:00:00+05:30,28.516,77.2938,992.3,31.55,36.86,79.49,124.15,132.51
2021-01-13 16:00:00+05:30,28.597,77.1612,985.24,32.1,23.22,86.33,157.89,171.78
2021-01-01 13:00:00+05:30,28.669,77.2224,993.77,28.27,34.81,281.5,513.42,549.33
2020-12-27 11:00:00+05:30,28.588,77.1612,986.34,31.2,25.17,212.0,393.51,424.26
2020-12-24 17:00:00+05:30,28.516,77.2938,989.91,32.84,22.41,97.09,156.24,169.11
2020-11-30 13:00:00+05:30,28.57,77.1612,990.52,38.42,16.87,93.11,148.83,157.39
2020-12-15 12:00:00+05:30,28.615,77.2734,996.68,33.42,22.3,82.0,133.67,148.33
2021-01-07 11:00:00+05:30,28.552,77.1612,990.63,34.37,30.57,54.71,97.43,105.71
2020-12-09 05:00:00+05:30,28.615,77.2326,991.39,22.05,50.94,172.59,305.12,345.5
2021-01-02 05:00:00+05:30,28.579,77.253,992.24,17.72,50.26,161.0,313.0,364.0
2020-12-23 07:00:00+05:30,28.588,77.1612,987.12,22.58,37.71,274.47,570.89,613.95
2021-01-18 23:00:00+05:30,28.552,77.2938,991.88,25.65,42.98,255.4,534.0,611.0
2021-01-03 15:00:00+05:30,28.588,77.253,989.0,30.44,42.09,40.4,58.74,68.14
2021-01-02 11:00:00+05:30,28.561,77.2734,992.45,29.44,41.06,82.23,131.5,140.58
2020-12-01 07:00:00+05:30,28.57,77.2326,986.78,24.95,39.55,169.84,286.78,308.44
2020-12-20 05:00:00+05:30,28.543,77.253,993.57,17.19,46.2,133.4,217.2,235.6
2020-12-12 14:00:00+05:30,28.615,77.2836,992.17,34.09,33.32,148.26,260.0,285.77
2020-12-23 21:00:00+05:30,28.588,77.2326,988.05,31.2,28.03,133.0,235.63,255.33
2021-01-15 17:00:00+05:30,28.552,77.2632,988.1,33.55,26.15,135.58,234.57,254.02
2020-11-02 14:00:00+05:30,28.489,77.2938,989.87,42.98,10.83,112.94,179.06,189.7
2021-01-27 11:00:00+05:30,28.669,77.253,994.57,29.76,27.79,126.86,209.34,224.21
2020-12-05 12:00:00+05:30,28.624,77.2326,1002.79,34.59,30.35,129.0,222.5,238.62
2021-01-05 14:00:00+05:30,28.561,77.2326,990.91,35.53,34.21,83.81,124.77,134.2
2021-01-13 20:00:00+05:30,28.606,77.2734,991.0,30.4,25.41,126.1,201.05,211.0
2021-01-30 17:00:00+05:30,28.633,77.2122,991.33,33.56,16.61,66.37,107.7,116.54
2020-12-01 13:00:00+05:30,28.57,77.2632,994.79,38.02,17.59,75.38,116.5,121.75
2021-01-23 11:00:00+05:30,28.561,77.2428,989.76,26.13,36.65,89.85,154.49,170.83
2020-12-29 20:00:00+05:30,28.651,77.3142,993.94,29.51,22.14,80.35,140.26,170.09
2020-12-24 22:00:00+05:30,28.579,77.2428,991.01,26.56,30.54,198.69,320.31,326.31
2021-01-23 09:00:00+05:30,28.588,77.2326,989.07,25.43,41.88,80.07,137.61,151.75
2021-01-25 11:00:00+05:30,28.561,77.2428,995.83,26.02,35.4,83.88,144.12,161.96
2020-12-11 21:00:00+05:30,28.552,77.202,994.45,32.28,24.44,41.55,70.45,79.38
