task_name,target_horizon,model,accuracy,macro_f1,weighted_f1,top_2_accuracy,adjacent_accuracy
current_3class,current,VotingClassifier,0.8896728672225785,0.6320635945224445,0.8833201347790649,,
current_3class,current,RandomForest,0.8822607084313306,0.60180806035884,0.8800405585431684,,
current_3class,current,LightGBM,0.880122585703086,0.606858281464629,0.8734904501722274,,
current_3class,current,ExtraTrees,0.8633026869075618,0.5501359122064566,0.859195801893139,,
current_3class,current,LogisticRegression,0.7014467963794455,0.44395536523539864,0.7586872641889887,,
current_6class,current,RandomForest,0.6738650131850902,0.5190057399658873,0.6762675422822403,0.5988881761813128,0.975839213170836
current_6class,current,VotingClassifier,0.6678782695460053,0.5075632984549402,0.6685428034386518,0.6196992374028936,0.980044187869717
current_6class,current,ExtraTrees,0.666381583636234,0.4620796347276377,0.6606992717083456,0.5818544651129641,0.9732021951393344
current_6class,current,LightGBM,0.6422920675646782,0.4905395594420737,0.6452918713560936,0.629677143468035,0.978119877414297
current_6class,current,LogisticRegression,0.5354572019100563,0.32783337490186465,0.5717176021807143,0.4485068776281092,0.9145463616278241
current_binary,current,ExtraTrees,0.9943696101489559,0.5109340068062058,0.9917011842380318,,
current_binary,current,VotingClassifier,0.9918038628750624,0.6693666787904247,0.9921994627689306,,
current_binary,current,RandomForest,0.9916613213598461,0.6390074451290886,0.9917884679838116,,
current_binary,current,LightGBM,0.9888104910555199,0.6419767974605635,0.9903927157257939,,
current_binary,current,LogisticRegression,0.8263131637089303,0.48187953695715063,0.8995655250626958,,
next_1h_3class,next_1h,VotingClassifier,0.8489501499785745,0.493157144450801,0.8324526368956093,,
next_1h_3class,next_1h,RandomForest,0.8478788744465077,0.5024507603859543,0.8359939332630599,,
next_1h_3class,next_1h,LightGBM,0.844022282531067,0.5082446763480354,0.8281537201734327,,
next_1h_3class,next_1h,ExtraTrees,0.8178831595486359,0.4139175308933614,0.7924454208875978,,
next_1h_3class,next_1h,LogisticRegression,0.5942722468218826,0.37626287443106127,0.6714912923155159,,
next_1h_6class,next_1h,RandomForest,0.5927010427081846,0.38302381327814183,0.586889048946137,0.6096271961148407,0.9559348664476504
next_1h_6class,next_1h,VotingClassifier,0.5822739608627339,0.3614372824792126,0.5781655411199625,0.5987716040565634,0.9505070704185117
next_1h_6class,next_1h,ExtraTrees,0.566633338094558,0.29151632814178796,0.5445536688365181,0.5801314097986002,0.9412226824739323
next_1h_6class,next_1h,LightGBM,0.5507070418511641,0.3339326600455347,0.5536608222545,0.580417083273818,0.9402228253106699
next_1h_6class,next_1h,LogisticRegression,0.3494500785602057,0.22118526999350893,0.3973891010385065,0.3871589772889587,0.8055277817454649
next_1h_binary,next_1h,ExtraTrees,0.994357948864448,0.49858549686660697,0.9915449039956818,,
next_1h_binary,next_1h,RandomForest,0.9941436937580346,0.5104362805294037,0.9915718911586008,,
next_1h_binary,next_1h,VotingClassifier,0.9930009998571633,0.5270898814447201,0.9911907249691022,,
next_1h_binary,next_1h,LightGBM,0.9882873875160691,0.5414973484122421,0.9889985277895668,,
next_1h_binary,next_1h,LogisticRegression,0.7531066990429939,0.4478553141776144,0.8537625442300891,,
